municipio_id,year,isla_id,provincia_id,cmun,dc,nombre
38033,2015,383,38,033,7,"San Andrés y Sauces"
38037,2015,383,38,037,4,"Santa Cruz de la Palma"
38045,2015,383,38,045,3,Tazacorte
38047,2015,383,38,047,2,Tijarafe
38053,2015,383,38,053,2,"Villa de Mazo"
38001,2015,384,38,001,2,Adeje
38004,2015,384,38,004,8,Arafo
38005,2015,384,38,005,1,Arico
38006,2015,384,38,006,4,Arona
38010,2015,384,38,010,3,"Buenavista del Norte"
38011,2015,384,38,011,0,Candelaria
38012,2015,384,38,012,5,Fasnia
38015,2015,384,38,015,9,Garachico
38017,2015,384,38,017,8,"Granadilla de Abona"
38018,2015,384,38,018,4,"Guancha, La"
38019,2015,384,38,019,7,"Guía de Isora"
38020,2015,384,38,020,1,Güímar
38022,2015,384,38,022,3,"Icod de los Vinos"
38025,2015,384,38,025,7,"Matanza de Acentejo, La"
38026,2015,384,38,026,0,"Orotava, La"
38028,2015,384,38,028,2,"Puerto de la Cruz"
38031,2015,384,38,031,6,"Realejos, Los"
38032,2015,384,38,032,1,"Rosario, El"
38023,2015,384,38,023,9,"San Cristóbal de La Laguna"
38034,2015,384,38,034,2,"San Juan de la Rambla"
38035,2015,384,38,035,5,"San Miguel de Abona"
38038,2015,384,38,038,0,"Santa Cruz de Tenerife"
38039,2015,384,38,039,3,"Santa Úrsula"
38040,2015,384,38,040,7,"Santiago del Teide"
38041,2015,384,38,041,4,"Sauzal, El"
38042,2015,384,38,042,9,"Silos, Los"
38043,2015,384,38,043,5,Tacoronte
38044,2015,384,38,044,0,"Tanque, El"
38046,2015,384,38,046,6,Tegueste
